image_index,image,label,gt,predictions,tp,fp,fn,error_score
66,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1368.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1368.txt,6,7,4,3,2,5
67,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1370.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1370.txt,1,1,1,0,0,0
68,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1371.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1371.txt,1,2,1,1,0,1
69,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1372.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1372.txt,1,1,1,0,0,0
70,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1373.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1373.txt,1,1,1,0,0,0
71,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1374.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1374.txt,4,3,2,1,2,3
72,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1376.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1376.txt,1,1,1,0,0,0
73,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1378.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1378.txt,0,3,0,3,0,3
74,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image1379.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image1379.txt,1,2,1,1,0,1
75,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image14.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image14.txt,8,8,4,4,4,8
76,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image15.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image15.txt,3,3,3,0,0,0
